Scenario,Algorithm,Avg Throughput (Mbps),Fairness,Avg CWND (packets),Packet Loss Ratio,Description
1,TCP Tahoe,8.068154666666667,0.8880206203727359,27.78911179083446,0.0058527224754137686,Typical broadband (low delay)
1,TCP Reno,8.315576,0.8880206203727359,28.81341784503603,0.008426183844011143,Typical broadband (low delay)
1,TCP NewReno,8.699264,0.8880206203727359,30.083215052732516,0.008365693997559081,Typical broadband (low delay)
1,TCP Cubic,11.404741333333334,0.8880206203727359,39.34065602686021,0.005398614695097107,Typical broadband (low delay)
1,TFRC,2.8162426666666667,0.8880206203727359,9.71922460271707,0.00406168250034421,Typical broadband (low delay)
2,TCP Tahoe,1.2892773333333332,0.8173380404545814,16.7357657673523,0.007492881762325791,"Long delay, moderate loss"
2,TCP Reno,1.6167066666666667,0.8173380404545814,20.90118922139737,0.005389221556886228,"Long delay, moderate loss"
2,TCP NewReno,1.4023786666666667,0.8173380404545814,18.139924933427718,0.007029634734665747,"Long delay, moderate loss"
2,TCP Cubic,1.7734133333333333,0.8173380404545814,22.932965674329992,0.005784131834552003,"Long delay, moderate loss"
2,TFRC,0.11660533333333334,0.8173380404545814,1.4976453394248397,0.0016666666666666668,"Long delay, moderate loss"
3,TCP Tahoe,2.933237333333333,0.9252812889053845,12.706666666666667,0.010506960861570791,"High-speed, lossy link"
3,TCP Reno,2.875616,0.9252812889053845,12.48506972689237,0.010516444503985532,"High-speed, lossy link"
3,TCP NewReno,3.2133626666666664,0.9252812889053845,13.969466368517294,0.010846116970278045,"High-speed, lossy link"
3,TCP Cubic,4.315565333333333,0.9252812889053845,18.69400983627889,0.009250983196281731,"High-speed, lossy link"
3,TFRC,1.6470746666666665,0.9252812889053845,7.141367433176339,0.010525084785405215,"High-speed, lossy link"
